DN Part ID,PG Product Group,Product Family,Product Group,Product Subgroup,Product Description
105,PG2,Body,Body Components,Wiper,Rear Wiper Linkage
106,PG1,Thermal,Climate Control Components,Compressor,Clutch
107,PG1,Thermal,Climate Control Components,Compressor,Compressor
108,PG1,Thermal,Climate Control Components,HVAC,Actuator
109,PG1,Thermal,Climate Control Components,HVAC,Ambient Temp Sensor
110,PG1,Thermal,Climate Control Components,HVAC,Blower Motor
111,PG1,Thermal,Climate Control Components,HVAC,Blower Motor Resistor
112,PG1,Thermal,Climate Control Components,HVAC,Cabin Air Filter
113,PG1,Thermal,Climate Control Components,HVAC,Cabin Temp Sensor
114,PG1,Thermal,Climate Control Components,HVAC,HVAC Case
115,PG3,Electronics,Body Electronics Components,Climate Control,Climate Control Panel
116,PG1,Thermal,Climate Control Components,HVAC,Door
117,PG1,Thermal,Climate Control Components,HVAC,Drain Tube
118,PG1,Thermal,Climate Control Components,HVAC,Duct
119,PG1,Thermal,Climate Control Components,HVAC,Duct Temp Sensor
120,PG1,Thermal,Climate Control Components,HVAC,HVAC ECU
121,PG1,Thermal,Climate Control Components,HVAC,Evaporator
122,PG1,Thermal,Climate Control Components,HVAC,Evaporator Temp Sensor
123,PG1,Thermal,Climate Control Components,HVAC,Heater Core
124,PG1,Thermal,Climate Control Components,HVAC,Linkage
125,PG1,Thermal,Climate Control Components,HVAC,Manual Door Cable
126,PG1,Thermal,Climate Control Components,HVAC,Misc
127,PG1,Thermal,Climate Control Components,HVAC,O-Ring/Seal
128,PG1,Thermal,Climate Control Components,HVAC,PTC Heater
129,PG1,Thermal,Climate Control Components,Plumbing,Refrigerant Line
130,PG1,Thermal,Climate Control Components,HVAC,Refrigerant Pressure Sensor
131,PG1,Thermal,Climate Control Components,HVAC,TXV Expansion Valve
132,PG1,Thermal,Climate Control Components,HVAC,Vacuum Hose
133,PG1,Thermal,Climate Control Components,HVAC,Wire Harness
134,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Air Deflector
135,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Attachments
136,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Charge Air Cooler
137,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Condenser
138,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Coolant Hose
139,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Electric Coolant Pump
140,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Misc
141,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Oil Cooler
142,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Oil Cooler Bypass
143,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Oil Hose
144,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Radiator
145,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Radiator Cap
146,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Radiator Drain
147,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Radiator Fan Assy
148,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Radiator Fan Clutch
149,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Radiator Fan Controller
150,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Radiator Fan Mechanical Clutch
