Issue ID,Owner,Customer,Subject,Status,DN Part ID,Checksheet ID,Major Issue No,Customer Tracking Number,Bulletin Number,DN Design Location,DN Plant ID,Responsibility Category,Progress Updates,Countermeasure,Vehicles Affected,Failure Ratio,DN Share Ratio,Service Contribution Ratio,Activated,SQL Code
2859,dscnehme,GM,GM 25MY Chevy Blazer E-Compressor - IPM Crack Post C/M Failure,C/M Implemented,107,Unknown,NULL,NULL,NULL,TICO,MACI,TFDM,Issue had a C/M in 2023 June for torque speed decrease. Using this issue to track only post C/M claims.,Currently we have 1 post C/M claim. TICO is stating that they will change the grease application to a uniform application instead of a two line applciation.,NULL,0.00,0.00,0.50,No,
2858,dssdebat,Ford,Valeo Heater Core (Non-DENSO),Closed,126,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL
2857,dssdebat,Ford,Rear HVAC (Non-DENSO),Closed,126,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL
2856,dsmMartine,Ford,"23-25MY Ford Multiple Models with 1.5L, 2.0L, & 2.3L Engines - Spark Plug Ground Electrode (GE) Melt",Trend Watch,177,Unknown,NULL,NULL,NULL,DNJP,DNJP-AN,TFCD,Ford recovered n=10 additional harvest parts from the field but there was a mix of contamination(Non-DN resp.) and Ground Electrode issues. Ford confirmed parts were built before DN counter measure. Next step they were going to perform SEM analysis and report any finding to issues. No current actions from Ford.,DNJP implemented welding improvements April 2025,NULL,NULL,0.50,NULL,No,NULL
2855,dsjmacatul,Ford,23-25MY Ford Escape - Noise from HVAC (Heater Core door),Cause Identified,114,Unknown,NULL,NULL,NULL,DIAM,DNMX-S,TFCA,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL
2854,dsbmeers,Stellantis,Cabin Filter Maintenance Claims,Closed,112,Unknown,NULL,NULL,NULL,NULL,NULL,NTF,Issue for cabin filter maintenance claims,NULL,NULL,NULL,NULL,NULL,No,
2853,dsjmacatul,Ford,2xMY Ford - Inverter Software Update,Closed,169,Unknown,NULL,NULL,NULL,DNJP,DMTN-101,TFCD,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL
2852,dsjmacatul,Ford,23-25MY Ford HF55 Inverter - Current Sensor Changed EEPROM,C/M Implemented,169,Unknown,NULL,NULL,NULL,DNJP,DMTN-101,TFDM,"Related DTCS:  P0A5D, P0A60, P0A63, P0A6F, P0BFD, P0DFA, P0A72, P0A75, P0E52",NULL,NULL,NULL,NULL,NULL,No,NULL
2851,dsjmacatul,Ford,23-24MY Ford F150 Lightning – Inverter Module Not Responding due to PCB Corrosion,C/M Implemented,169,Unknown,NULL,NULL,NULL,DNJP,DMTN-101,TFCA,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL
2850,dsjmacatul,Ford,2xMY Ford - Inverter P0AA6 (NTF),Cause Identified,169,Unknown,NULL,NULL,NULL,DNJP,DMTN-101,TFCD,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL
