Logic ID,Rule ID,Logic Number,P1,Col,Operand,Val,P2,And Or
2859-1,2859,1,NULL,Customer,=,GM,NULL,And
2859-2,2859,2,NULL,Model Year,=,2025,NULL,And
2859-3,2859,3,NULL,Datalink,LIKE,*Compressor*,NULL,And
2859-4,2859,4,(,Datalink,LIKE,*BT*,NULL,Or
2859-5,2859,5,NULL,Datalink,LIKE,*BV*,),NULL
2859-6,2859,6,NULL,Claim Category,LIKE,*P1C01*,NULL,NULL
2859-7,2859,7,NULL,Issue ID,=,TBD,NULL,NULL
2854-1,2854,1,NULL,NULL,NULL,NULL,NULL,NULL
2847-1,2847,1,NULL,Customer,=,GM,NULL,And
2847-2,2847,2,NULL,Model Year,=,2023,NULL,NULL
2846-1,2846,1,NULL,Model Year,>=,2025,NULL,And
2846-2,2846,2,(,Claim Category,LIKE,*P0365*,NULL,Or
2846-3,2846,3,NULL,Claim Category,LIKE,*P0340*,),NULL
2845-1,2845,1,NULL,Customer,=,Ford,NULL,And
2845-2,2845,2,(,Claimed Part Number,LIKE,LJ9Z7B012L,NULL,Or
2845-3,2845,3,NULL,Claimed Part Number,=,LJ9Z7B012C,NULL,Or
2845-4,2845,4,NULL,Claimed Part Number,=,LJ9Z7B012G,),And
2845-5,2845,5,(,Issue ID,=,0,NULL,Or
2845-6,2845,6,NULL,Issue ID,=,NULL,),NULL
2840-1,2840,1,(,Model Year,>=,2024,),And
2840-2,2840,2,(,Engine,LIKE,L5D,NULL,Or
2840-3,2840,3,NULL,Engine,LIKE,L5P,),And
2840-4,2840,4,(,Dealer Comments,LIKE,*P02CC*,NULL,Or
2840-5,2840,5,NULL,Correction Comments,LIKE,*P02CC*,NULL,Or
2840-6,2840,6,NULL,Correction Comments,LIKE,*p02ce*,NULL,Or
2840-7,2840,7,NULL,Correction Comments,LIKE,*p02d0*,NULL,Or
2840-8,2840,8,NULL,Correction Comments,LIKE,*p02d2*,NULL,Or
2840-10,2840,10,NULL,Correction Comments,LIKE,*p02d4*,NULL,Or
2840-11,2840,11,NULL,Correction Comments,LIKE,*p02d6*,NULL,Or
2840-12,2840,12,NULL,Correction Comments,LIKE,*p02d8*,NULL,Or
2840-13,2840,13,NULL,Correction Comments,LIKE,*p02da*,NULL,Or
2840-14,2840,14,NULL,Dealer Comments,LIKE,*p02ce*,NULL,Or
2840-15,2840,15,NULL,Dealer Comments,LIKE,*p02d0*,NULL,Or
2840-16,2840,16,NULL,Dealer Comments,LIKE,*p02d2*,NULL,Or
2840-17,2840,17,NULL,Dealer Comments,LIKE,*p02d4*,NULL,Or
2840-18,2840,18,NULL,Dealer Comments,LIKE,*p02d6*,NULL,Or
2840-19,2840,19,NULL,Dealer Comments,LIKE,*p02d8*,NULL,Or
2840-20,2840,20,NULL,Dealer Comments,LIKE,*p02db*,),NULL
2839-1,2839,1,(,Customer Comments,=," C/S HEARS CLICKING SOUND IN DASH ON START UPS                                 
FOUND RECIRCULATION HOUSING DOOR BROKEN                                       
REPLACED RECIRCULATION HOUSING, EVACUATE & RECHARGED SYSTEM",),NULL
2788-1,2788,1,NULL,DN Part ID,=,188,NULL,And
2788-2,2788,2,NULL,Customer,=,Ford,NULL,And
2788-3,2788,3,NULL,Model Year,>=,2025,NULL,And
2788-4,2788,4,NULL,Model,=,Explorer,NULL,And
2788-5,2788,5,NULL,Claim Category 2,LIKE,*P04F0*,NULL,NULL
2741-1,2741,1,NULL,Customer,=,Ford,NULL,And
2741-2,2741,2,(,Model Year,>=,2022,NULL,And
2741-3,2741,3,NULL,Model Year,<=,2024,),And
2741-4,2741,4,(,Issue ID,=,0,NULL,Or
2741-5,2741,5,NULL,Issue ID,=,NULL,),And
2741-6,2741,6,(,Model,=,Escape Hybrid,NULL,Or
2741-7,2741,7,NULL,Model,=,Maverick HEV,),And
2741-8,2741,8,NULL,Customer Category 2,LIKE,*U101*,NULL,And
2741-9,2741,9,NULL,Claim Category,LIKE,*Reprogram*,NULL,NULL
2740-1,2740,1,NULL,Customer,=,Ford,NULL,And
2740-2,2740,2,NULL,Claim Category 2,LIKE,*TSB 24-2141*,NULL,And
2740-3,2740,3,(,Issue ID,=,0,NULL,Or
2740-4,2740,4,NULL,Issue ID,=,NULL,),NULL
2739-1,2739,1,NULL,Customer,=,Ford,NULL,And
2739-2,2739,2,NULL,Claim Category 2,LIKE,*TSB 24-2187*,NULL,And
2739-3,2739,3,(,Issue ID,=,0,NULL,Or
2739-4,2739,4,NULL,Issue ID,=,,),NULL
2695-1,2695,1,NULL,Product Description,=,NULL,NULL,Or
2695-2,2695,2,NULL,Customer,=,GM,NULL,And
2695-3,2695,3,(,Product Description,LIKE,*HVAC Case*,NULL,Or
2695-4,2695,4,NULL,Product Description,LIKE,*Actuato*,),And
2695-5,2695,5,NULL,Model Year,>=,2024,NULL,And
2695-6,2695,6,NULL,Model Year,=,2024,NULL,And
2695-7,2695,7,NULL,Vehicle Build Date,>=,4/1/2024,NULL,And
2695-8,2695,8,NULL,Vehicle Build Date,<=,7/4/2024,NULL,And
2695-9,2695,9,(,Issue ID,=,0,NULL,Or
2695-10,2695,10,NULL,Issue ID,IS NULL,NULL,NULL,Or
2695-11,2695,11,NULL,Issue ID,LIKE,Unknown,),And
2695-12,2695,12,(,Claim Category,LIKE,*Noise*,NULL,Or
2695-13,2695,13,NULL,Claim Category,LIKE,*Nosie*,),NULL
2684-1,2684,1,NULL,Customer,=,GM,NULL,And
2684-2,2684,2,NULL,Datalink,=,DeltaPressureSensorDMAX,NULL,And
2684-3,2684,3,NULL,Model Year,>=,2024,NULL,And
2684-4,2684,4,NULL,Model Year,<=,2025,NULL,And
2684-5,2684,5,NULL,Claim Category,LIKE,*P244A/B*,NULL,NULL
2653-1,2653,1,NULL,Customer,=,Honda,NULL,And
2653-2,2653,2,NULL,Product Description,=,Evap Canister Vent Shut Valve,NULL,And
2653-3,2653,3,NULL,Model,=,Civic,NULL,And
2653-4,2653,4,NULL,Model Year,>=,2023,NULL,And
2653-5,2653,5,NULL,Failure Code,LIKE,*1454*,NULL,NULL
2617-1,2617,1,NULL,Customer,=,GM,NULL,And
2617-2,2617,2,NULL,Datalink,=,FuelInjectorCSS3L,NULL,And
2617-3,2617,3,NULL,Model Year,=,2024,NULL,And
2617-4,2617,4,NULL,Claim Category,LIKE,*Inj.C*,NULL,And
2617-5,2617,5,(,Issue ID,=,0,NULL,Or
2617-6,2617,6,NULL,Issue ID,=,TBD,NULL,Or
2617-7,2617,7,NULL,Issue ID,IS NULL,,),NULL
2616-1,2616,1,NULL,Customer,=,Honda,NULL,And
2616-2,2616,2,(,Model Year,=,2023,NULL,Or
2616-3,2616,3,NULL,Model Year,=,2024,),And
2616-4,2616,4,NULL,Model Code,=,CRV,NULL,And
2616-5,2616,5,NULL,Claimed Part Number,=,36162,NULL,And
2616-6,2616,6,NULL,Engine,=,LFC,NULL,NULL
2615-1,2615,1,NULL,Customer,=,Honda,NULL,And
2615-2,2615,2,(,Model Year,=,2023,NULL,Or
2615-3,2615,3,NULL,Model Year,=,2024,),And
2615-4,2615,4,NULL,Model Code,=,PILOT,NULL,And
2615-5,2615,5,NULL,Claimed Part Number,=,36542,NULL,NULL
2613-1,2613,1,NULL,Customer,=,GM,NULL,And
2613-2,2613,2,NULL,Datalink,=,FuelRailDMAX,NULL,And
2613-3,2613,3,NULL,Model Year,>=,2024,NULL,And
2613-4,2613,4,NULL,Model Year,<=,2025,NULL,And
2613-5,2613,5,NULL,Claim Category,LIKE,*P1089*,NULL,And
2613-6,2613,6,(,Issue ID,=,0,NULL,Or
